	len_changed	len_not_found	not_found	changed
Depurination	1	0	[]	{'H2AFX': 'H2AX'}
Depyrimidination	1	0	[]	{'H2AFX': 'H2AX'}
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	0	0	[]	{}
Dermatan sulfate biosynthesis	0	0	[]	{}
Detoxification of Reactive Oxygen Species	1	0	[]	{'GPX6': 'GPX7'}
Deubiquitination	10	0	[]	{'USP16': 'USP21', 'BRE': 'BABAM2', 'FAM175A': 'ABRAXAS1', 'BAP1': 'RNF2', 'VDAC3': 'VDAC1P5', 'FAM175B': 'ABRAXAS2', 'UFD1L': 'UFD1', 'PARK2': 'PRKN', 'TRAF2': 'TANK', 'BRCC3': 'DEPDC1B'}
Developmental Biology	28	7	['ROBO3.1', '5S rRNA', '5.8S rRNA', 'EPAS1 (HIF2A)', '18S rRNA', '28S rRNA', 'POU5F1 (OCT4)']	{'KRTAP5-1': 'KRTAP5-9', 'KRTAP5-3': 'KRTAP5-7', 'KRTAP5-6': 'KRTAP5-11', 'DOK1': 'ART4', 'TRPC7': 'TRPM2', 'PRX': 'PRDX6', 'CAP2': 'TMPRSS4', 'DLG3': 'MPP3', 'RPL36A': 'RPL36AL', 'PAK5': 'PAK6', 'SLIT3': 'SLIT1', 'PDX1': 'PDHX', 'RPL13': 'MRPL13', 'FGF2': 'FGF13', 'CER1': 'C3CER1', 'HFE2': 'HJV', 'H2AFX': 'H2AX', 'PAK3': 'ARHGEF7', 'RQCD1': 'CNOT9', 'MYH14': 'MYH7B', 'GRIN1': 'GPRIN1', 'DSC3': 'DSC2', 'KRTAP5-8': 'KRTAP5-2', 'PAK1': 'PKN1', 'GCK': 'MAP4K2', 'RPL10': 'RPL15', 'NTN4': 'MLF2', 'TCF4': 'TCF7L2'}
Digestion	1	0	[]	{'SI': 'PMEL'}
Digestion and absorption	1	0	[]	{'SI': 'PMEL'}
Digestion of dietary carbohydrate	1	0	[]	{'SI': 'PMEL'}
Digestion of dietary lipid	0	0	[]	{}
Dimerization of procaspase-8	1	0	[]	{'TRAF2': 'TANK'}
Disassembly of the destruction complex and recruitment of AXIN to the membrane	0	0	[]	{}
Disease	41	225	['UL25', 'Rv1281c', 'sapM', 'UL144', 'gag', 'fliC', 'UL130', 'US3', 'secD', '5S rRNA', 'UL83', 'bfr', 'NS5B', 'lpdC', 'dlaT', '18S rRNA', 'US10', 'ha17', 'US28', 'Rv2895c', 'US22', 'Rv1280c', 'RNA4.9', 'ndkA', 'UL95', 'UL4', 'UL29', 'Rv3654c', 'trxB', 'HA', 'esxA', 'US32', 'UL114', 'US12', 'UL54', 'US8', '8b', 'UL70', 'adhE2', 'glbN', 'PPE2', 'US19', 'UL52', 'UL99', 'pstS1', 'UL122', 'gN', 'RIR1', 'rpoB', 'botA', 'US9', '3a', 'gag-pol', 'katG', 'US13', 'UL69', 'UL26', 'rev', 'Rv2779c', 'US26', 'secG', 'UL43', 'sodC', 'UL76', 'Rv2238c', 'UL22A', 'US16', 'UL96', 'secE', 'nef', 'E', 'UL38', 'irtA', '5.8S rRNA', 'irtB', 'eis', 'UL78', 'UL132', 'UL131A', 'UL92', 'UL87', 'RL1', 'LPG1G2', 'RL9A', 'Rv1282c', 'N', 'UL5', '28S rRNA', 'UL44', 'UL13', 'SARS coronavirus, complete genome', 'US34', 'US23', 'US30', 'US33A', 'UL146', 'UL91', 'msrA', 'ggtA', 'ptpA', 'UL9', 'RL11', '9b', 'IGLV', 'UL37', 'UL147', 'secF', 'rpoZ', 'HA-33', 'ahpC', 'UL16', 'inlB', 'gH', 'CVC1', 'UL119/UL118', 'UL34', 'Hh5 strain Merlin complete genome', 'UL7', 'Rv1410c', 'gL', 'UL2', 'pp1a', 'UL88', 'UL84', 'MT2748', 'UL18', 'M', 'UL74', 'env', 'UL124', 'cya', 'UL104', 'lprM', 'UL21A', 'UL103', 'sta1', 'UL98', 'secA2', 'CVC2', 'UL71', 'UL133', 'secA1', 'S', 'RL10', 'US18', 'UL120', 'UL35', 'UL31', 'Rv3364c', 'ntnha', 'UL148', 'rpoC', 'gM', 'trx-2', 'trxA', 'UL41A', 'botG', 'UL121', 'rep', 'mip', 'bfrB', 'inlA', 'HELI', 'tpx', 'botF', '1a', 'UL23', 'UL32', 'US2', 'tat', 'IGHV', 'UL138', 'porB', '7a', 'UL147A', 'UL82', 'US14', 'US11', 'UL15A', 'Rv1283c', 'US17', 'RL8A', 'UL117', 'US34A', 'Rv3655c', 'PB2', 'UL27', 'UL112/UL113', 'cpnT', 'gB', 'rpoA', 'UL47', 'vif', 'UL48', 'UL94', 'UL80', 'esxH', 'ha70', 'US24', 'UL123', 'vpr', 'pagA', 'secY', 'lprG', 'UL17', 'UL14', 'esxG', 'UL111A', 'botD', 'sodB', 'vpu', 'fgd1', 'botB', 'US20', 'UL79', 'tetX', 'UL11', 'lef', 'US27', 'UL36', 'ahpD', 'UL97', 'botE', 'UL102', 'UL24']	{'POM121': 'POMZP3', 'RPL13': 'MRPL13', 'NEC2': 'PCSK2', 'PA': 'EPB42', 'NEC1': 'PCSK1', 'RPL36A': 'RPL36AL', 'TRS1': 'TRS-TGA2-1', 'SCP': 'SLC50A1', 'HRH2': 'DHX15', 'GIP': 'C1QTNF1', 'TRX1': 'KMT2A', 'NP': 'CTF2P', 'CDH1': 'FZR1', 'SI': 'PMEL', 'TRM3': 'TARBP1', 'G6PC': 'G6PC1', 'TRX2': 'KMT2B', 'TRM2': 'TRX-CAT1-2', 'PB1': 'PBRM1', 'NS': 'GNL3', 'PC': 'PODXL', 'KSR2': 'CNKSR2', 'FGF2': 'FGF13', 'MCP': 'CAPG', 'VIP': 'CPAMD8', 'GSS': 'PRNP', 'SLC6A5': 'SLC6A2', 'NA': 'XK', 'TAAR3': 'TAAR3P', 'BRMS1': 'BRMS1L', 'TAF4B': 'PAPPA-AS1', 'PTH2': 'PTENP1', 'MGAT2': 'MOGAT2', 'KPNA7': 'KPNA6', 'TRM1': 'TRMT1', 'TRAF2': 'TANK', 'DBP': 'GC', 'LIG1': 'LRIG1', 'GCK': 'MAP4K2', 'HK1': 'HOOK1', 'RPL10': 'RPL15'}
Diseases associated with N-glycosylation of proteins	1	0	[]	{'MGAT2': 'MOGAT2'}
Diseases associated with O-glycosylation of proteins	0	0	[]	{}
Diseases associated with glycosaminoglycan metabolism	0	0	[]	{}
Diseases associated with glycosylation precursor biosynthesis	0	0	[]	{}
Diseases associated with surfactant metabolism	0	0	[]	{}
Diseases associated with the TLR signaling cascade	0	3	['fliC', 'porB', 'mip']	{}
Diseases associated with visual transduction	0	0	[]	{}
Diseases of Base Excision Repair	0	0	[]	{}
Diseases of Cellular Senescence	0	0	[]	{}
Diseases of DNA Double-Strand Break Repair	0	0	[]	{}
Diseases of DNA repair	0	0	[]	{}
Diseases of Immune System	0	3	['fliC', 'porB', 'mip']	{}
Diseases of Mismatch Repair (MMR)	0	0	[]	{}
Diseases of Telomere Maintenance	0	0	[]	{}
Diseases of carbohydrate metabolism	2	0	[]	{'G6PC': 'G6PC1', 'SI': 'PMEL'}
Diseases of cellular response to stress	0	0	[]	{}
Diseases of glycosylation	1	0	[]	{'MGAT2': 'MOGAT2'}
Diseases of hemostasis	0	0	[]	{}
Diseases of metabolism	5	0	[]	{'MGAT2': 'MOGAT2', 'G6PC': 'G6PC1', 'GSS': 'PRNP', 'PC': 'PODXL', 'SI': 'PMEL'}
Diseases of mitotic cell cycle	0	0	[]	{}
Diseases of programmed cell death	1	0	[]	{'TRAF2': 'TANK'}
Diseases of signal transduction by growth factor receptors and second messengers	2	0	[]	{'KSR2': 'CNKSR2', 'FGF2': 'FGF13'}
Diseases of the neuronal system	0	0	[]	{}
Disinhibition of SNARE formation	0	0	[]	{}
Disorders of Developmental Biology	0	0	[]	{}
Disorders of Nervous System Development	0	0	[]	{}
Disorders of transmembrane transporters	4	0	[]	{'GCK': 'MAP4K2', 'HK1': 'HOOK1', 'POM121': 'POMZP3', 'SLC6A5': 'SLC6A2'}
Displacement of DNA glycosylase by APEX1	0	0	[]	{}
Dissolution of Fibrin Clot	1	0	[]	{'HRG': 'NRG1'}
Dopamine Neurotransmitter Release Cycle	0	0	[]	{}
Dopamine clearance from the synaptic cleft	0	0	[]	{}
Dopamine receptors	0	0	[]	{}
Downregulation of ERBB2 signaling	0	0	[]	{}
Downregulation of ERBB2:ERBB3 signaling	0	0	[]	{}
Downregulation of ERBB4 signaling	0	0	[]	{}
Downregulation of SMAD2/3:SMAD4 transcriptional activity	0	0	[]	{}
Downregulation of TGF-beta receptor signaling	1	0	[]	{'STRAP': 'SRFBP1'}
Downstream TCR signaling	0	0	[]	{}
Downstream signal transduction	0	0	[]	{}
Downstream signaling events of B Cell Receptor (BCR)	0	0	[]	{}
Downstream signaling of activated FGFR1	1	0	[]	{'FGF2': 'FGF13'}
Downstream signaling of activated FGFR2	1	0	[]	{'FGF2': 'FGF13'}
Downstream signaling of activated FGFR3	1	0	[]	{'FGF2': 'FGF13'}
Downstream signaling of activated FGFR4	1	0	[]	{'FGF2': 'FGF13'}
Drug resistance in ERBB2 KD mutants	0	0	[]	{}
Drug resistance in ERBB2 TMD/JMD mutants	0	0	[]	{}
Drug resistance of FLT3 mutants	0	0	[]	{}
Drug resistance of KIT mutants	0	0	[]	{}
Drug resistance of PDGFR mutants	0	0	[]	{}
Drug-mediated inhibition of ERBB2 signaling	0	0	[]	{}
Dual Incision in GG-NER	2	0	[]	{'RPA1': 'POLR1A', 'POLK': 'TENT4A'}
Dual incision in TC-NER	3	0	[]	{'ISY1': 'RAB43', 'RPA1': 'POLR1A', 'POLK': 'TENT4A'}
E2F mediated regulation of DNA replication	1	0	[]	{'ORC1': 'SLC25A15'}
E2F-enabled inhibition of pre-replication complex formation	1	0	[]	{'ORC1': 'SLC25A15'}
E3 ubiquitin ligases ubiquitinate target proteins	0	1	['US11']	{}
ECM proteoglycans	3	0	[]	{'LAMA3': 'LAMA4', 'LAMB2': 'LAMC1', 'DMP1': 'DMTF1'}
EGFR Transactivation by Gastrin	0	0	[]	{}
EGFR downregulation	0	0	[]	{}
EGFR interacts with phospholipase C-gamma	0	0	[]	{}
EGR2 and SOX10-mediated initiation of Schwann cell myelination	1	0	[]	{'PRX': 'PRDX6'}
EML4 and NUDC in mitotic spindle formation	2	0	[]	{'CENPC': 'CENPCP1', 'APITD1': 'CENPS'}
EPH-Ephrin signaling	4	0	[]	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1', 'MYH14': 'MYH7B', 'GRIN1': 'GPRIN1'}
EPH-ephrin mediated repulsion of cells	0	0	[]	{}
EPHA-mediated growth cone collapse	1	0	[]	{'MYH14': 'MYH7B'}
EPHB-mediated forward signaling	2	0	[]	{'PAK1': 'PKN1', 'GRIN1': 'GPRIN1'}
ER Quality Control Compartment (ERQC)	0	0	[]	{}
ER to Golgi Anterograde Transport	4	0	[]	{'NAPB': 'NAPSB', 'NAPA': 'NAPSA', 'MIA2': 'CFAP73', 'ARFGAP1': 'ARFGAP3'}
ER-Phagosome pathway	2	2	['porB', 'mip']	{'HLA-H': 'HFE', 'TAP2': 'SEC14L3'}
ERBB2 Activates PTK6 Signaling	0	0	[]	{}
ERBB2 Regulates Cell Motility	0	0	[]	{}
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	2	1	['45S pre-rRNA gene']	{'H2AFX': 'H2AX', 'TTF1': 'NKX2-1'}
ERK/MAPK targets	0	0	[]	{}
ERKs are inactivated	0	0	[]	{}
ESR-mediated signaling	2	0	[]	{'NOS3': 'NANOS3', 'H2AFX': 'H2AX'}
Early Phase of HIV Life Cycle	1	8	['rev', 'vif', 'env', 'vpu', 'gag', 'gag-pol', 'vpr', 'nef']	{'LIG1': 'LRIG1'}
Effects of PIP2 hydrolysis	1	0	[]	{'TRPC7': 'TRPM2'}
Eicosanoid ligand-binding receptors	0	0	[]	{}
Eicosanoids	0	0	[]	{}
Elastic fibre formation	1	0	[]	{'LTBP3': 'LTBP2'}
Electric Transmission Across Gap Junctions	2	0	[]	{'GJA10': 'GJA9', 'GJC1': 'GJD3'}
Electron transport from NADPH to Ferredoxin	0	0	[]	{}
Elevation of cytosolic Ca2+ levels	1	0	[]	{'TRPC7': 'TRPM2'}
Endogenous sterols	0	0	[]	{}
Endosomal Sorting Complex Required For Transport (ESCRT)	0	0	[]	{}
Endosomal/Vacuolar pathway	1	0	[]	{'HLA-H': 'HFE'}
Energy dependent regulation of mTOR by LKB1-AMPK	0	0	[]	{}
Entry of Influenza Virion into Host Cell via Endocytosis	5	3	['M', 'PB2', 'HA']	{'PA': 'EPB42', 'NS': 'GNL3', 'PB1': 'PBRM1', 'NP': 'CTF2P', 'NA': 'XK'}
Enzymatic degradation of Dopamine by monoamine oxidase	0	0	[]	{}
Enzymatic degradation of dopamine by COMT	0	0	[]	{}
Ephrin signaling	2	0	[]	{'PAK3': 'ARHGEF7', 'PAK1': 'PKN1'}
Epigenetic regulation of gene expression	2	5	['45S pre-rRNA gene', '5S rRNA', '5.8S rRNA', '28S rRNA', '18S rRNA, 5.8S rRNA, 28S rRNA']	{'H2AFX': 'H2AX', 'TTF1': 'NKX2-1'}
Erythrocytes take up carbon dioxide and release oxygen	0	0	[]	{}
Erythrocytes take up oxygen and release carbon dioxide	0	0	[]	{}
Erythropoietin activates Phosphoinositide-3-kinase (PI3K)	1	0	[]	{'EPO': 'EPX'}
Erythropoietin activates Phospholipase C gamma (PLCG)	1	0	[]	{'EPO': 'EPX'}
Erythropoietin activates RAS	1	0	[]	{'EPO': 'EPX'}
Erythropoietin activates STAT5	1	0	[]	{'EPO': 'EPX'}
Escape of Mtb from the phagocyte	0	1	['cpnT']	{}
Essential fructosuria	0	0	[]	{}
Essential pentosuria	0	0	[]	{}
Establishment of Sister Chromatid Cohesion	0	0	[]	{}
Estrogen biosynthesis	0	0	[]	{}
Estrogen-dependent gene expression	1	0	[]	{'H2AFX': 'H2AX'}
Estrogen-dependent nuclear events downstream of ESR-membrane signaling	0	0	[]	{}
Estrogen-stimulated signaling through PRKCZ	0	0	[]	{}
Ethanol oxidation	0	0	[]	{}
Eukaryotic Translation Elongation	3	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'RPL36A': 'RPL36AL'}
Eukaryotic Translation Initiation	3	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'RPL36A': 'RPL36AL'}
Eukaryotic Translation Termination	3	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'RPL36A': 'RPL36AL'}
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4	0	0	[]	{}
Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	0	0	[]	{}
Evasion of Oncogene Induced Senescence Due to p14ARF Defects	0	0	[]	{}
Evasion of Oncogene Induced Senescence Due to p16INK4A Defects	0	0	[]	{}
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4	0	0	[]	{}
Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6	0	0	[]	{}
Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects	0	0	[]	{}
Evasion of Oxidative Stress Induced Senescence Due to p16INK4A Defects	0	0	[]	{}
Events associated with phagocytolytic activity of PMN cells	0	0	[]	{}
Export of Viral Ribonucleoproteins from Nucleus	5	2	['M', 'PB2']	{'PB1': 'PBRM1', 'POM121': 'POMZP3', 'NS': 'GNL3', 'PA': 'EPB42', 'NP': 'CTF2P'}
Expression and Processing of Neurotrophins	0	0	[]	{}
Extension of Telomeres	4	0	[]	{'TEN1': 'TENM1', 'LIG1': 'LRIG1', 'GAR1': 'CNGB1', 'RPA1': 'POLR1A'}
Extra-nuclear estrogen signaling	1	0	[]	{'NOS3': 'NANOS3'}
Extracellular matrix organization	9	0	[]	{'MMP20': 'MMP25', 'LAMA3': 'LAMA4', 'LAMB2': 'LAMC1', 'DMP1': 'DMTF1', 'FGF2': 'FGF13', 'LTBP3': 'LTBP2', 'NTN4': 'MLF2', 'CDH1': 'FZR1', 'SPP1': 'CXXC1'}
Extrinsic Pathway of Fibrin Clot Formation	1	0	[]	{'F3': 'CNTN1'}
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	0	0	[]	{}
FBXW7 Mutants and NOTCH1 in Cancer	0	0	[]	{}
FCERI mediated Ca+2 mobilization	1	2	['IGHV', 'IGLV']	{'LAT': 'SPNS1'}
FCERI mediated MAPK activation	2	2	['IGHV', 'IGLV']	{'PAK1': 'PKN1', 'LAT': 'SPNS1'}
FCERI mediated NF-kB activation	0	2	['IGHV', 'IGLV']	{}
FCGR activation	0	2	['IGHV', 'IGLV']	{}
FCGR3A-mediated IL10 synthesis	0	3	['IGHV', 'LPG1G2', 'IGLV']	{}
FCGR3A-mediated phagocytosis	0	3	['IGHV', 'LPG1G2', 'IGLV']	{}
FGFR1 ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR1 mutant receptor activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR1b ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR1c and Klotho ligand binding and activation	0	0	[]	{}
FGFR1c ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR2 alternative splicing	0	2	['FGFR2b', 'FGFR2c']	{}
FGFR2 ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR2 mutant receptor activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR2b ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR2c ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR3 ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR3 mutant receptor activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR3b ligand binding and activation	0	0	[]	{}
FGFR3c ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR4 ligand binding and activation	1	0	[]	{'FGF2': 'FGF13'}
FGFR4 mutant receptor activation	0	0	[]	{}
FGFRL1 modulation of FGFR1 signaling	1	0	[]	{'FGF2': 'FGF13'}
FLT3 Signaling	0	0	[]	{}
FLT3 mutants bind TKIs	0	0	[]	{}
FLT3 signaling by CBL mutants	0	0	[]	{}
FLT3 signaling in disease	0	0	[]	{}
FLT3 signaling through SRC family kinases	0	0	[]	{}
FMO oxidises nucleophiles	0	0	[]	{}
FOXO-mediated transcription	2	0	[]	{'GCK': 'MAP4K2', 'G6PC': 'G6PC1'}
FOXO-mediated transcription of cell cycle genes	0	0	[]	{}
FOXO-mediated transcription of cell death genes	0	0	[]	{}
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	2	0	[]	{'GCK': 'MAP4K2', 'G6PC': 'G6PC1'}
FRS-mediated FGFR1 signaling	1	0	[]	{'FGF2': 'FGF13'}
FRS-mediated FGFR2 signaling	1	0	[]	{'FGF2': 'FGF13'}
FRS-mediated FGFR3 signaling	1	0	[]	{'FGF2': 'FGF13'}
FRS-mediated FGFR4 signaling	1	0	[]	{'FGF2': 'FGF13'}
Factors involved in megakaryocyte development and platelet production	0	0	[]	{}
Fanconi Anemia Pathway	3	0	[]	{'APITD1': 'CENPS', 'STRA13': 'CENPX', 'RPA1': 'POLR1A'}
FasL/ CD95L signaling	0	0	[]	{}
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion	0	0	[]	{}
Fatty acid metabolism	3	1	['ACOT7L']	{'FAAH': 'FA2H', 'DBI': 'TSPO', 'SCD': 'SLC22A5'}
Fatty acids	0	0	[]	{}
Fatty acyl-CoA biosynthesis	1	0	[]	{'SCD': 'SLC22A5'}
Fc epsilon receptor (FCERI) signaling	3	2	['IGHV', 'IGLV']	{'PAK1': 'PKN1', 'LAT2': 'SLC7A8', 'LAT': 'SPNS1'}
Fcgamma receptor (FCGR) dependent phagocytosis	1	2	['IGHV', 'IGLV']	{'PAK1': 'PKN1'}
Fertilization	0	0	[]	{}
Fibronectin matrix formation	0	0	[]	{}
Ficolins bind to repetitive carbohydrate structures on the target cell surface	0	0	[]	{}
Folding of actin by CCT/TriC	0	0	[]	{}
Formation of ATP by chemiosmotic coupling	0	0	[]	{}
Formation of Fibrin Clot (Clotting Cascade)	1	0	[]	{'F3': 'CNTN1'}
Formation of HIV elongation complex in the absence of HIV Tat	0	0	[]	{}
Formation of HIV-1 elongation complex containing HIV-1 Tat	0	1	['tat']	{}
Formation of Incision Complex in GG-NER	1	0	[]	{'RPA1': 'POLR1A'}
Formation of RNA Pol II elongation complex	1	0	[]	{'EAF2': 'DMAP1'}
Formation of Senescence-Associated Heterochromatin Foci (SAHF)	0	0	[]	{}
Formation of TC-NER Pre-Incision Complex	1	0	[]	{'ISY1': 'RAB43'}
Formation of a pool of free 40S subunits	3	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'RPL36A': 'RPL36AL'}
Formation of annular gap junctions	0	0	[]	{}
Formation of apoptosome	0	0	[]	{}
Formation of editosomes by ADAR proteins	0	0	[]	{}
Formation of the Early Elongation Complex	0	0	[]	{}
Formation of the Editosome	0	0	[]	{}
Formation of the HIV-1 Early Elongation Complex	0	0	[]	{}
Formation of the active cofactor, UDP-glucuronate	0	0	[]	{}
Formation of the beta-catenin:TCF transactivating complex	2	0	[]	{'H2AFX': 'H2AX', 'TCF4': 'TCF7L2'}
Formation of the cornified envelope	1	0	[]	{'DSC3': 'DSC2'}
Formation of the ternary complex, and subsequently, the 43S complex	0	1	['18S rRNA']	{}
Formation of tubulin folding intermediates by CCT/TriC	0	0	[]	{}
Formation of xylulose-5-phosphate	0	0	[]	{}
Formyl peptide receptors bind formyl peptides and many other ligands	0	0	[]	{}
Free fatty acid receptors	0	0	[]	{}
Free fatty acids regulate insulin secretion	0	0	[]	{}
Frs2-mediated activation	0	0	[]	{}
Fructose biosynthesis	0	0	[]	{}
Fructose catabolism	0	0	[]	{}
Fructose metabolism	0	0	[]	{}
Fusion and Uncoating of the Influenza Virion	5	3	['M', 'PB2', 'HA']	{'PA': 'EPB42', 'NS': 'GNL3', 'NP': 'CTF2P', 'PB1': 'PBRM1', 'NA': 'XK'}
Fusion of the Influenza Virion to the Host Cell Endosome	5	3	['M', 'PB2', 'HA']	{'PA': 'EPB42', 'NS': 'GNL3', 'NP': 'CTF2P', 'PB1': 'PBRM1', 'NA': 'XK'}
G alpha (12/13) signalling events	1	0	[]	{'NET1': 'SLC6A2'}
G alpha (i) signalling events	7	0	[]	{'LRP1': 'C1D', 'PSAP': 'MTCH1', 'RBP2': 'RIMBP2', 'RGS13': 'RGS18', 'SAG': 'RNF7', 'CNR2': 'PCDHA6', 'RBP3': 'E2F1'}
G alpha (q) signalling events	5	0	[]	{'TRPC7': 'TRPM2', 'GRP': 'LGALSL', 'HCRTR2': 'CD200R1', 'NMB': 'GPNMB', 'RGS13': 'RGS18'}
G alpha (s) signalling events	8	0	[]	{'TAAR3': 'TAAR3P', 'OR8G2': 'OR8G2P', 'PTH2': 'PTENP1', 'HRH2': 'DHX15', 'OR2W5': 'OR2W5P', 'GIP': 'C1QTNF1', 'VIP': 'CPAMD8', 'OR5R1': 'OR8U3'}
G alpha (z) signalling events	0	0	[]	{}
G beta:gamma signalling through BTK	0	0	[]	{}
G beta:gamma signalling through CDC42	1	0	[]	{'PAK1': 'PKN1'}
G beta:gamma signalling through PI3Kgamma	0	0	[]	{}
G beta:gamma signalling through PLC beta	0	0	[]	{}
G protein gated Potassium channels	0	0	[]	{}
G-protein activation	0	0	[]	{}
G-protein beta:gamma signalling	1	0	[]	{'PAK1': 'PKN1'}
G-protein mediated events	0	0	[]	{}
G0 and Early G1	0	0	[]	{}
G1 Phase	0	0	[]	{}
G1/S DNA Damage Checkpoints	1	0	[]	{'RFWD2': 'COP1'}
G1/S Transition	3	0	[]	{'ORC1': 'SLC25A15', 'MCM2': 'MCM7', 'RPA1': 'POLR1A'}
G1/S-Specific Transcription	1	0	[]	{'ORC1': 'SLC25A15'}
G2 Phase	0	0	[]	{}
G2/M Checkpoints	10	0	[]	{'ORC1': 'SLC25A15', 'RAD1': 'ERCC4', 'MCM2': 'MCM7', 'BRIP1': 'MRPL36', 'BRE': 'BABAM2', 'FAM175A': 'ABRAXAS1', 'NBN': 'ARTN', 'H2AFX': 'H2AX', 'RPA1': 'POLR1A', 'BRCC3': 'DEPDC1B'}
G2/M DNA damage checkpoint	8	0	[]	{'RAD1': 'ERCC4', 'BRIP1': 'MRPL36', 'BRE': 'BABAM2', 'FAM175A': 'ABRAXAS1', 'NBN': 'ARTN', 'H2AFX': 'H2AX', 'RPA1': 'POLR1A', 'BRCC3': 'DEPDC1B'}
G2/M DNA replication checkpoint	0	0	[]	{}
G2/M Transition	0	0	[]	{}
GAB1 signalosome	1	0	[]	{'PXN': 'PXDN'}
GABA B receptor activation	0	0	[]	{}
GABA receptor activation	0	0	[]	{}
GABA synthesis	0	0	[]	{}
GABA synthesis, release, reuptake and degradation	0	0	[]	{}
GDP-fucose biosynthesis	0	0	[]	{}
GLI proteins bind promoters of Hh responsive genes to promote transcription	0	0	[]	{}
GLI3 is processed to GLI3R by the proteasome	0	0	[]	{}
GP1b-IX-V activation signalling	0	0	[]	{}
GPCR downstream signalling	21	0	[]	{'TAAR3': 'TAAR3P', 'TRPC7': 'TRPM2', 'LRP1': 'C1D', 'OR8G2': 'OR8G2P', 'NET1': 'SLC6A2', 'PSAP': 'MTCH1', 'PTH2': 'PTENP1', 'HRH2': 'DHX15', 'OR2W5': 'OR2W5P', 'GIP': 'C1QTNF1', 'RBP2': 'RIMBP2', 'HCRTR2': 'CD200R1', 'RGS13': 'RGS18', 'VIP': 'CPAMD8', 'SAG': 'RNF7', 'NMB': 'GPNMB', 'PAK1': 'PKN1', 'CNR2': 'PCDHA6', 'RBP3': 'E2F1', 'OR5R1': 'OR8U3', 'GRP': 'LGALSL'}
GPCR ligand binding	12	0	[]	{'TAAR3': 'TAAR3P', 'PSAP': 'MTCH1', 'PTH2': 'PTENP1', 'HRH2': 'DHX15', 'GIP': 'C1QTNF1', 'HCRTR2': 'CD200R1', 'VIP': 'CPAMD8', 'NMB': 'GPNMB', 'CNR2': 'PCDHA6', 'SMO': 'SMOX', 'GRP': 'LGALSL', 'FZD3': 'FZD9'}
GPVI-mediated activation cascade	1	1	['G6B']	{'LAT': 'SPNS1'}
GRB2 events in EGFR signaling	0	0	[]	{}
GRB2 events in ERBB2 signaling	0	0	[]	{}
GRB2:SOS provides linkage to MAPK signaling for Integrins	0	0	[]	{}
GRB7 events in ERBB2 signaling	0	0	[]	{}
GTP hydrolysis and joining of the 60S ribosomal subunit	3	4	['18S rRNA', '5S rRNA', '5.8S rRNA', '28S rRNA']	{'RPL13': 'MRPL13', 'RPL10': 'RPL15', 'RPL36A': 'RPL36AL'}
Galactose catabolism	0	0	[]	{}
Gamma carboxylation, hypusine formation and arylsulfatase activation	0	0	[]	{}
Gamma-carboxylation of protein precursors	0	0	[]	{}
Gamma-carboxylation, transport, and amino-terminal cleavage of proteins	0	0	[]	{}
Gap junction assembly	2	0	[]	{'GJC1': 'GJD3', 'GJA10': 'GJA9'}
Gap junction degradation	0	0	[]	{}
Gap junction trafficking	2	0	[]	{'GJC1': 'GJD3', 'GJA10': 'GJA9'}
Gap junction trafficking and regulation	2	0	[]	{'GJC1': 'GJD3', 'GJA10': 'GJA9'}
